contig	HOT224_1_0025m	HOT224_1_0045m	HOT224_1_0075m	HOT224_1_0125m	HOT224_1_0200m	HOT224_1_0500m	HOT224_1_0770m	HOT224_1_1000m	HOT225_1_0025m	HOT225_1_0045m	HOT225_1_0075m	HOT225_1_0125m	HOT225_1_0200m	HOT225_1_0500m	HOT225_1_0770m	HOT225_1_1000m	HOT226_1_0025m	HOT226_1_0045m	HOT226_1_0075m	HOT226_1_0200m	HOT226_1_0500m	HOT226_1_0770m	HOT226_1_1000m	HOT227_1_0025m	HOT227_1_0045m	HOT227_1_0075m	HOT227_1_0125m	HOT227_1_0770m	HOT229_1_0025m	HOT229_1_0125m	HOT229_1_0200m	HOT229_1_0500m	HOT229_1_1000m	HOT229_2_0025m	HOT229_2_0500m	HOT229_2_0770m	HOT229_3_0500m	HOT231_1_0025m	HOT231_1_0075m	HOT231_1_0125m	HOT231_1_0200m	HOT231_1_0500m	HOT231_1_0770m	HOT231_1_1000m	HOT231_2_0025m	HOT231_2_0125m	HOT232_1_0025m	HOT232_1_0075m	HOT232_1_0125m	HOT232_1_0200m	HOT232_1_0500m	HOT232_1_0770m	HOT232_1_1000m	HOT232_2_0500m	HOT232_3_0500m	HOT233_1_0025m	HOT233_1_0075m	HOT233_1_1000m	HOT233_1c_0125m	HOT233_1c_0200m	HOT233_1c_0770m	HOT233_2_0025m	HOT233_2c_0500m	HOT234_1_0075m	HOT234_1_0200m	HOT234_1_0500m	HOT234_1_0770m	HOT234_1_1000m	HOT234_2_0025m	HOT234_2_0075m	HOT234_2_0125m	HOT234_2_0200m	HOT234_3_0025m	HOT236_1_0025m	HOT236_1_0075m	HOT236_1_0125m	HOT236_1_0200m	HOT236_1_0500m	HOT236_1_1000m	HOT236_2_0500m	HOT236_2_0770m	HOT237_1_0025m	HOT237_1_0075m	HOT237_1_0200m	HOT237_1_0500m	HOT237_1_0770m	HOT237_1_1000m	HOT237_2_0075m	HOT237_2_0500m	HOT237_2_0770m	HOT237_3_0025m	HOT237_3_0125m	HOT237_3_0500m	HOT238_1_0025m	HOT238_1_0075m	HOT238_1_0500m	HOT238_1_1000m	HOT238_1c_0125m	HOT238_1c_0200m	HOT238_2_0500m	HOT238_2_0770m	
c_000000000011	0.00177829	5.68886e-05	0.000845706	5.37422e-05	0	0	0	0	0.00107564	0	0.000378588	0	0	0	0	0	0.0004392	0	0.000117442	0	0	0	0	0	0.000116416	0	0	0	0.00447033	0	0	0	0	0.00294448	0	0	0	0	0.00500366	0	0	0	0	0	0.00247848	0	0.00905814	0.0109267	0	0	0	0	0	0	0	0	0.000692208	0	0	0	0	0	0	0.0253178	0	0	0	0	0.00888205	0.0242812	0	0	0.0127686	0.0254162	0.0303072	0	0	0	0	0	0	0	0.0136142	0	0	0	0	0.0278225	0	0	0.0134601	0	0	0.0557671	0.0507805	0	0	0	0	0	0	
c_000000000012	0.00629192	0.00181604	0.00442644	0	0	0	0	0	0.00767796	0.00319236	0	0	0	0	0	0	0.000136647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000823257	0.00996155	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303404	0	0	0	0	0	0	0.156443	0	0	0	0.168784	0.00886176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c_000000000013	0	0	0.0158345	0.195973	0	0	0	0	0	0	0.0318836	0.127504	0	0	0	0	0	0	0.00480722	0	0	0	0	0	0.000920038	0	0.198799	0	0	0.0612374	0.00576157	0	0	0	0	0	0	0	0	0.0776296	0	0	0	0	0	0.103095	0	0.0313965	0.0236548	0	0	0	0	0	0	0	0.0124698	0	0.250945	0	0	0	0	0.0163255	0	0	0	0	0	0.0176678	0.0439568	0	0	0	0.0262353	0.0558578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106838	0	0	0	0	0	0.0648706	0.0016758	0	0	
c_000000000014	0.0454553	0.043194	0.0329525	0.00209798	0	0	0	0	0.0505524	0.0384545	0.00639568	0	0	0	0	0	0.0851197	0.0748627	0.0432837	0	0	0	0	0.0306495	0.0387917	0.0356867	0.00223979	0	0.0995604	0.000105056	0	0	0	0.102918	0	0	0	0.0260488	0.11282	0	0	0	0	0	0.0919179	0.0005316	0.214354	0.0312436	0	0	0	0	0	0	0	0	0.013478	0	0	0	0	0.0618257	0	0.0342266	0	0	0	0	0.152955	0.0319214	0	0	0.127016	0.177781	0.059245	0	0	0	0	0	0	0.00488905	0.079382	0	0	0	0	0.0617756	0	0	0.0674117	0	0	0.100621	0.0942297	0	0	0.00105922	0	0	0	
c_000000000015	0	0	0	0	0	0	0	0	0	0	0	0	0.00600499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0442068	0	0	0	0.00459997	0	0.0154566	0	0	0	0.0134209	0	0	0	0	0	0	0	0	0.0306323	0	0.00173471	0	0	0.00142525	0	0	0	0	0.00628749	0	0	0	0	0.041641	0.0045884	0	0	0	0	0	0.0362674	0	0	0	0	0.0484308	0.00444109	0	0.00882558	0	0	0	0.0522438	0.00129427	0	0	0	0.00180222	0	0	0	0	0	0	0.00358925	0	0	0.0103285	0.00896306	0.0184494	
c_000000000016	0	0	0	0	0.114579	0	0	0	0	0	0	0	0.09457	0	0	0	0	0	0	0.095827	0	0	0	0	0	0	0	0	0	0	0.0264076	0	0	0	0	0	0	0	0	0	0.0276307	0	0	0	0	0.00493226	0	0	0.000155341	0.0491226	0	0	0	0	0	0	0	0	0	0.0187546	0	0	0	0	0.0137857	0	0	0	0	0	0.0106546	0.00923697	0	0	0	0.00016474	0.00583234	0	0	0	0	0	0	0.000593767	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00590926	0.0112496	0	0	
c_000000000017	0.0830755	0.0910207	0.0609685	0.0258161	0	0	0	0	0.0518212	0.0522621	0.0221163	0	0	0	0	0	0.0868633	0.0936382	0.0726825	0	0	0	0	0.0647107	0.059819	0.0683431	0.0116112	0	0.0883785	0.000764228	4.4446e-05	0	0	0.0987973	0	0	0	0.560033	0.187675	0	0	0	0	0	0.178589	0.00059453	0.12646	0.0393608	0	0	0	0	0	0	0	0	0.0187071	0	0.00185507	0	0	0.0255042	0	0.0161111	0	0	0	0	0.00654123	0.0128675	0	0	0.011838	0.0323397	0.00845474	0	0	0	0	0	0	0	0.00120148	0	0	0	0	0.0199154	0	0	0.0128839	0	0	0.0548756	0.03695	0	0	0	0	0	0	
c_000000000018	0	0	0	0	0.161791	0.00674039	0.0119854	0.014004	0	0	0	0.00520108	0.179685	0.0109697	0.0105311	0.0154822	0	0	0	0.151825	0	0	0.0177623	0	0	0	0	0	0	0.0308972	0.127649	0.000589634	0.00151333	0	0.00652331	0.033325	0.0257193	0	0	0	0.169985	0.0101422	0.031722	0.0194263	0	0.00445243	0	0	0	0.142368	0	0.0195315	0.0061053	0.00837958	0.025677	0	0	0.0452608	0	0.155337	0.0157653	0	0	0	0.177302	0.00505204	0.0416598	0.000855531	0	0	0.0187955	0.178576	0	0	0	0.0512303	0.0869309	0.00572059	0	0.0130775	0.0173041	0	0	0.14142	0.0212833	0.0136293	0.0164012	0	0.0258413	0.0635296	0	0.0104765	0.0038684	0	0	0.00253215	0.0234443	0.0126965	0.103587	0.00987733	0.0425358	
c_000000000019	0.0866433	0.0971241	0.0467442	0.00502216	0	0	0	0	0.139951	0.182492	0.0245836	0	0	0	0	0	0.169989	0.184553	0.0803102	0	0	0	0	0.29892	0.241024	0.332687	0.01098	0	0.0968604	0.0285692	0	0	0	0.0961854	0	0	0	0	0.0674905	0	0	0	0	0	0.0888446	0	0.0906175	0.0378833	0	0	0	0	0	0	0	0.35283	0.039426	0	0	0	0	0.157586	0	0.00821039	0	0	0	0	0.155916	0.00729318	0	0	0.142235	0.0907095	0.0399937	0	0	0	0	0	0	0.0687852	0.0909811	0	0	0	0	0.0872499	0	0	0.0965529	0	0	0.0579409	0.0637314	0	0	3.29098e-05	0	0	0	
c_000000000020	0.0426754	0.0479724	0.0475132	0.0519801	0.00365729	0	0	0	0.101088	0.0939122	0.079877	0.0279167	0.00303354	0	0	0	0.100799	0.109182	0.0852404	0.00115579	0	0	0	0.0665997	0.0697831	0.0855619	0.0241444	0	0.0241098	0.027774	0.00120867	0	0	0.0302992	0	0	0	0	0.0281079	0	0.00630113	0	0	0	0.0386059	0.00325023	0.0149831	0.0291826	0.000698328	0.00285725	0	0	0	0	0	0	0.0183709	0	0.00958224	0.00720235	0	0.0231112	0	0.00899707	0.00126778	0	0	0	0.00688014	0.00629347	0.00167891	0.000412299	0.0147801	0.019955	0.037497	0.0101353	0.000189841	0.000489567	0	0.0013223	0	0.207361	0.0931742	0.00132735	0	0	0	0.0855298	0	0	0.110197	0.102342	0	0.0328827	0.0366472	0	0	0.0052529	0.00278623	0	0	
c_000000000021	0.000107174	0	0.000119103	0	0.00138289	0.000230016	0	0	0	0	0.000400494	0	0.0108017	0.00145713	0	0	0	0	0	0.000811395	0	0	0	0	0	0	4.16997e-05	0	0	0.000146566	0.0259299	0	0	0	0.000743793	0	0.00295701	0	0	0	0.00756794	0.000615478	0	0	0	4.86015e-05	0	0	0	0.0163626	0	0	0	4.31709e-05	0.00158312	0	0	0	0	0.00862224	0	0	0	2.25501e-05	0.0209834	0	0	0	0	0	8.7932e-05	0.0184398	0	0	0	7.27871e-05	0.0114723	0.000549338	0	0.00101127	0	0	0	0.0439078	0.000918537	0	0	0	0.00031443	0	0	0.000991126	0	0	0	0.000418554	0	0.000151073	0.0128992	0.000896177	0.000484953	
c_000000000022	0	0	0	0.026121	0.0127079	0	0	0	0	0	0	0.0621784	0.0218008	0	0	0	0	0	0	0.0941353	0	0	0	0	0	0	0.0600936	0	0	0.11755	0.00175379	0	0	0	0	0	0	0	0	0.111647	0.00097905	0	0	0	0	0.114875	0	0	0.206466	2.872e-06	0	0	0	0	0	0	0	0	0.0338569	0	0	0	0	0	0	0	0	0	0	0	0.0511287	0	0	0	0.00181625	0.0824541	0	0	0	0	0	0.0333005	0	0	0	0	0	0	0	0	0	0.0957171	0	0.000360285	0.000201948	0	0	0.149701	0.000804074	0	0	
c_000000000023	0	0	0	0	0	0	0	0	0	0	0	0	0.0163111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415149	0	0	0	0	0	0	0	0	0	0.0148871	0	0	0	0	0	0	0	0	0.0242037	0	0	0	0	0	0	0	0	0	0.00408806	0	0	0	0	0.00700476	0	0	0	0	0	0.000270993	0.00261738	0	0	0	4.69436e-05	0.00473872	0	0	0	0	0	0	0.0013181	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000365402	0.00275607	0	0	
c_000000000024	0.124146	0.118076	0.0722347	0.0149866	0	0	0	0	0.120727	0.109174	0.027958	0	0	0	0	0	0.121405	0.100505	0.0629974	0	0	0	0	0.0575829	0.0531217	0.0513897	0.000418932	0	0.0140011	0	0	0	0	0.0110693	0	0	0	0	0.00498882	0	0	0	0	0	0.00253666	0	0.00436043	0.000417537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015855	0	0	0	0.00673747	0.0108573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104059	0.00775294	0	0	0	0	0	0	
c_000000000025	0.0107377	0.00506057	0.0288036	0.0180506	0	0	0	0	0.00818121	0.00523645	0.0594974	0.00584008	0	0	0	0	0	0	0.0257307	0	0	0	0	0.0234653	0.0262068	0.0162874	0.084059	0	0.00316291	0.00130898	0	0	0	0.00266237	0	0	0	0	0.000976835	0	0	0	0	0	0.00109552	0.00448994	0	0.0203198	0.000584183	0	0	0	0	0	0	0	0.0390355	0	0.0267397	0	0	0.00132563	0	0.031037	0	0	0	0	0	0.028374	0.000143425	0	9.67199e-05	0.00623944	0.0381891	0.00365736	0	0	0	0	0	0.00393497	0.00324277	0	0	0	0	0.0244583	0	0	0.0272706	0.0278304	0	0.0118986	0.0102608	0	0	0.00503668	0	0	0	
c_000000000026	0.0042948	0.00140016	0.0174896	0.0178124	0	0	0	0	0	0	0.0135468	0	0	0	0	0	0	0	0.0149309	0	0	0	0	0	0.000945496	0	0.0266887	0	0.0147523	0	0	0	0	0.0110382	0	0	0	0	0.0194121	0	0	0	0	0	0.00602742	0.00194397	0.00896769	0.0414004	0	0	0	0	0	0	0	0	0.0153442	0	0.0146825	0	0	0	0	0.0423951	0	0	0	0	0	0.0416127	0.00131823	0	0	0.0064275	0.025986	0	0	0	0	0	0	0	0	0	0	0	0	0.000606066	0	0	0	0	0	0.0151147	0.00766529	0	0	0.00443499	0	0	0	
c_000000000027	0.00925187	0.00595848	0.00433359	0	0	0	0	0	0.0137627	0.0155411	0.00249012	0	0	0	0	0	0.0211972	0.00969551	0.00668549	0	0	0	0	0.0201589	0.0218311	0.0178233	0	0	0.0345711	0.00982299	0	0	0	0.0367549	0	0	0	0	0.0134309	0	0	0	0	0	0.00544121	0	0.026507	0.010735	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000825334	0	0	0	0	0	0	0.00438708	0	0	0	0.0100541	0.0136826	0.00312463	0	0	0	0	0	0	0	0	0	0	0	0	0.00835504	0	0	0.00645572	0	0	0.0151926	0.0148104	0	0	0	0	0	0	
c_000000000028	0	0	0	0	3.37388e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00796823	0.0889656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250312	0	0	0	0	0	0.0300591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000907174	0	0	0	
c_000000000029	0	0	0	0	0	0.25769	0.449636	0.121363	0	0	0	0	0	0.214724	0.38173	0.210157	0	0	0	0	0.324934	0.574771	0.518586	0	0	0	0	0.619933	0	0	0	0.380212	0.0217683	0	0.32794	0.481623	0.27781	0	0	0	0	0.201026	0.484451	0.198434	0	0	0	0	0	0	0.26917	0.241805	0.0805439	0.238488	0.204217	0	0	0.415302	0	0	0.213482	0	0.17334	0	0	0.394107	0.438216	0.048977	0	0	0	0	0	0	0	0	0	0.349923	0.231474	0.297216	0.188616	0	0	0	0.380252	0.513434	0.168969	0	0.368976	0.422593	0	0	0.404145	0	0	0.350055	0.357636	0	0	0.30995	0.438693	
c_000000000030	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154717	0.0131828	0.0587825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272843	0	0	0	0	0.00172282	0	0	0.00285085	0.0243684	0.188787	0.402645	0.0501175	0.0510297	0	0	0.0612166	0	0.00392522	0.2673	0	0.0696264	0	0.000612157	0	0.0186833	0.456005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c_000000000031	0	0	0	0	0	0	0	0	0	0	0	0.0272703	0	0	0	0	0	0	0	0.0160995	0	0	0	0	0	0	0	0	0	0.0499221	0	0	0	0	0	0	0	0	0	0	0.0143152	0	0	0	0	0.0197785	0	0	0.0134816	0.000433848	0	0	0	0	0	0	0	0	0	0.0106277	0	0	0	0	0.00534684	0	0	0	0	0	0.0468038	0.00141905	0	0	0	0.0210546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559381	0	0	0	0	0	0.00685391	0.0101004	0	0	
c_000000000032	0	0	0	0.000520091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407293	0	0	0	0	0	0.0367971	0	0	0	0.000780015	0.013305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c_000000000033	0.0072159	0.00389959	0.00582852	0	0	0	0	0	0.00934939	0.00481611	0	0	0	0	0	0	0.000266868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000872895	0.00610638	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264882	0	0	0	0	0	0	0.0866068	0	0	0	0.0909334	0.00432363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c_000000000034	0	0	0	0	0.0446546	0	0	0	0	0	0	0.0037467	0.128553	0	0	0	0	0	0	0.0542744	0	0	0	0	0	0	0	0	0	0.0105248	0.0113474	0	0	0	0	0	0	0	0	0	0.0526551	0	0	0	0	0	0	0	0	0.0169076	0	0	0	0	0	0	0	0	0	0.0359017	0	0	0	0	0.00382613	0	0	0	0	0	0.00349486	0	0	0	0	0.0186649	0.00398506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00470616	0.00648967	0	0	
c_000000000035	0	0	0	0	0	0.230115	0.39194	0.111225	0	0	0	0	0	0.206112	0.345705	0.195009	0	0	0	0	0.293917	0.425229	0.463652	0	0	0	0	0.380067	0	0	0	0.358416	0.0218829	0	0.30528	0.457112	0.253167	0	0	0	0	0.195668	0.452682	0.19772	0	0	0	0	0	0	0.258729	0.250127	0.0812572	0.214857	0.179546	0	0	0.401826	0	0	0.206004	0	0.162044	0	0	0.383391	0.423281	0.053493	0	0	0	0	0	0	0	0	0	0.330804	0.256943	0.273205	0.191194	0	0	0	0.346541	0.471438	0.150347	0	0.340055	0.509281	0	0	0.359817	0	0	0.346054	0.373371	0	0	0.292701	0.409407	
c_000000000036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153462	0.0223511	0.0642251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273185	0	0	0	0	9.3884e-05	0	0	0.00314618	0.0405113	0.198467	0.425089	0.038123	0.0335748	0	0	0.0621255	0	0.00388335	0.278181	0	0.0416122	0	0.000895391	0	0.030135	0.439761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
c_000000000037	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110373	0	6.25007e-05	0	0.00098997	0.00240253	0.00431915	0	0	0	0.00816519	0.000337515	0.00351358	0.000478087	0	0	0	0	0	0.018227	0	0.00539073	0	0.000524424	0.00408119	0	0	0.00160913	0	0.0189426	0.0020207	0	0	0	0.0209176	0.000246947	0.00365643	0	0	0	0	0.0211935	0	0	0	0	0.0289804	0.000420684	0	0.00128805	0.00274088	0	0	0.0475983	0.00256438	0	0	0	0.00326339	0	0	0	0	0	0	0.000251522	0	0	0.0217453	0.000941306	0.00456873	
